30/08/2016,16:44:16.082000
1
 	Служебный канал	Напряжение статора	Ток статора	Активная мощность	Реактивная мощность	Активный ток	
416	-669,8	-669,8	0,0	-574,6	0,0	0,0	
417	-666,7	-666,7	0,0	-574,6	0,0	0,0	
418	-666,7	-666,7	0,0	-574,6	0,0	0,0	
419	-666,7	-666,7	0,0	-574,6	0,0	0,0	
420	-663,5	-663,5	0,0	-574,6	0,0	0,0	
421	-666,7	-666,7	0,0	-574,6	0,0	0,0	
422	-675,0	-675,0	0,0	-574,6	0,0	0,0	
423	-666,7	-666,7	0,0	-574,6	0,0	0,0	
424	-666,7	-666,7	0,0	-574,6	0,0	0,0	
425	-670,2	-670,2	0,0	-574,6	0,0	0,0	
426	-666,7	-666,7	0,0	-574,6	0,0	0,0	
427	-666,7	-666,7	0,0	-574,6	0,0	0,0	
428	-670,3	-670,3	0,0	-574,6	0,0	0,0	
429	-670,3	-670,3	0,0	-574,6	0,0	0,0	
430	-666,7	-666,7	0,0	-574,6	0,0	0,0	
431	-669,8	-669,8	0,0	-574,6	0,0	0,0	
432	-666,7	-666,7	0,0	-574,6	0,0	0,0	
433	-670,2	-670,2	0,0	-574,6	0,0	0,0	
434	-666,7	-666,7	0,0	-574,6	0,0	0,0	
435	-670,2	-670,2	0,0	-574,6	0,0	0,0	
436	-666,7	-666,7	0,0	-574,6	0,0	0,0	
437	-670,3	-670,3	0,0	-574,6	0,0	0,0	
438	-666,7	-666,7	0,0	-574,6	0,0	0,0	
439	-666,7	-666,7	0,0	-574,6	0,0	0,0	
440	-666,7	-666,7	0,0	-574,6	0,0	0,0	
441	-666,7	-666,7	0,0	-574,6	0,0	0,0	
442	-669,8	-669,8	0,0	-574,6	0,0	0,0	
443	-676,4	-676,4	0,0	-574,6	0,0	0,0	
444	-666,7	-666,7	0,0	-574,6	0,0	0,0	
445	-666,7	-666,7	0,0	-574,6	0,0	0,0	
